Timestamp,UNIX,Apparent (VA),Active (W),kettle,vacuum,water_heater,oven,fridge,washing_machine,dryer,aircond
2022-11-07 17:26:46,1667813206,0.0,0.0,0.0,0.0,0.0,2261.18,0.0,0.0,0.0,1607.18
2022-11-07 17:26:47,1667813207,0.0,0.0,0.0,0.0,0.0,2260.17,0.0,0.0,0.0,1607.02
2022-11-07 17:26:48,1667813208,0.0,0.0,0.0,0.0,0.0,2260.53,0.0,0.0,0.0,1607.47
2022-11-07 17:26:49,1667813209,0.0,0.0,0.0,0.0,0.0,2261.98,0.0,0.0,0.0,1606.53
2022-11-07 17:26:50,1667813210,0.0,0.0,0.0,0.0,0.0,2263.02,0.0,0.0,0.0,1606.3
2022-11-07 17:26:51,1667813211,0.0,0.0,0.0,0.0,0.0,2262.43,0.0,0.0,0.0,1610.26
2022-11-07 17:26:52,1667813212,0.0,0.0,0.0,0.0,0.0,2260.82,0.0,0.0,0.0,1608.99
2022-11-07 17:26:53,1667813213,0.0,0.0,0.0,0.0,0.0,2259.39,0.0,0.0,0.0,1602.47
2022-11-07 17:26:54,1667813214,0.0,0.0,0.0,0.0,0.0,2258.22,0.0,0.0,0.0,1602.38
2022-11-07 17:26:55,1667813215,0.0,0.0,0.0,0.0,0.0,2259.33,0.0,0.0,0.0,1600.52
2022-11-07 17:26:56,1667813216,0.0,0.0,0.0,0.0,0.0,2259.36,0.0,0.0,0.0,1599.68
2022-11-07 17:26:57,1667813217,0.0,0.0,0.0,0.0,0.0,2260.65,0.0,0.0,0.0,1578.21
2022-11-07 17:26:58,1667813218,0.0,0.0,0.0,0.0,0.0,2262.35,0.0,0.0,0.0,1578.87
2022-11-07 17:26:59,1667813219,0.0,0.0,0.0,0.0,0.0,2263.42,0.0,0.0,0.0,1579.71
2022-11-07 17:27:00,1667813220,0.0,0.0,0.0,0.0,0.0,2263.77,0.0,0.0,0.0,1583.49
2022-11-07 17:27:01,1667813221,0.0,0.0,0.0,0.0,0.0,2263.26,0.0,0.0,0.0,1580.28
2022-11-07 17:27:02,1667813222,0.0,0.0,0.0,0.0,0.0,2260.14,0.0,0.0,0.0,1574.9
2022-11-07 17:27:03,1667813223,0.0,0.0,0.0,0.0,0.0,2257.99,0.0,0.0,0.0,1575.48
2022-11-07 17:27:04,1667813224,0.0,0.0,0.0,0.0,0.0,2258.19,0.0,0.0,0.0,1576.87
2022-11-07 17:27:05,1667813225,0.0,0.0,0.0,0.0,0.0,2257.57,0.0,0.0,0.0,1578.11
2022-11-07 17:27:06,1667813226,0.0,0.0,0.0,0.0,0.0,2259.18,0.0,0.0,0.0,1577.0
2022-11-07 17:27:07,1667813227,0.0,0.0,0.0,0.0,0.0,2258.96,0.0,0.0,0.0,1579.66
2022-11-07 17:27:08,1667813228,0.0,0.0,0.0,0.0,0.0,2259.68,0.0,0.0,0.0,1579.1
2022-11-07 17:27:09,1667813229,0.0,0.0,0.0,0.0,0.0,2261.95,0.0,0.0,0.0,1575.03
2022-11-07 17:27:10,1667813230,0.0,0.0,0.0,0.0,0.0,2262.84,0.0,0.0,0.0,1568.77
2022-11-07 17:27:11,1667813231,0.0,0.0,0.0,0.0,0.0,2261.07,0.0,0.0,0.0,1563.11
2022-11-07 17:27:12,1667813232,0.0,0.0,0.0,0.0,0.0,2260.11,0.0,0.0,0.0,1563.06
2022-11-07 17:27:13,1667813233,0.0,0.0,0.0,0.0,0.0,2259.26,0.0,0.0,0.0,1563.85
2022-11-07 17:27:14,1667813234,0.0,0.0,0.0,0.0,0.0,2258.86,0.0,0.0,0.0,1560.24
2022-11-07 17:27:15,1667813235,0.0,0.0,0.0,0.0,0.0,2260.75,0.0,0.0,0.0,1558.15
2022-11-07 17:27:16,1667813236,0.0,0.0,0.0,0.0,0.0,2259.38,0.0,0.0,0.0,1558.36
2022-11-07 17:27:17,1667813237,0.0,0.0,0.0,0.0,0.0,2259.09,0.0,0.0,0.0,1557.77
2022-11-07 17:27:18,1667813238,0.0,0.0,0.0,0.0,0.0,2259.47,0.0,0.0,0.0,1556.69
2022-11-07 17:27:19,1667813239,0.0,0.0,0.0,0.0,0.0,2258.94,0.0,0.0,0.0,1553.18
2022-11-07 17:27:20,1667813240,0.0,0.0,0.0,0.0,0.0,2258.18,0.0,0.0,0.0,1551.33
2022-11-07 17:27:21,1667813241,0.0,0.0,0.0,0.0,0.0,2257.83,0.0,0.0,0.0,1552.15
2022-11-07 17:27:22,1667813242,0.0,0.0,0.0,0.0,0.0,2257.06,0.0,0.0,0.0,1554.36
2022-11-07 17:27:23,1667813243,0.0,0.0,0.0,0.0,0.0,2257.85,0.0,0.0,0.0,1552.58
2022-11-07 17:27:24,1667813244,0.0,0.0,0.0,0.0,0.0,2260.08,0.0,0.0,0.0,1554.47
2022-11-07 17:27:25,1667813245,0.0,0.0,0.0,0.0,0.0,2259.65,0.0,0.0,0.0,1551.25
2022-11-07 17:27:26,1667813246,0.0,0.0,0.0,0.0,0.0,2258.9,0.0,0.0,0.0,1552.14
2022-11-07 17:27:27,1667813247,0.0,0.0,0.0,0.0,0.0,2261.19,0.0,0.0,0.0,1553.91
2022-11-07 17:27:28,1667813248,0.0,0.0,0.0,0.0,0.0,2260.25,0.0,0.0,0.0,1553.3
2022-11-07 17:27:29,1667813249,0.0,0.0,0.0,0.0,0.0,2257.74,0.0,0.0,0.0,1549.81
2022-11-07 17:27:30,1667813250,0.0,0.0,0.0,0.0,0.0,2256.57,0.0,0.0,0.0,1547.15
2022-11-07 17:27:31,1667813251,0.0,0.0,0.0,0.0,0.0,2254.65,0.0,0.0,0.0,1543.6
2022-11-07 17:27:32,1667813252,0.0,0.0,0.0,0.0,0.0,2252.4,0.0,0.0,0.0,1544.36
2022-11-07 17:27:33,1667813253,0.0,0.0,0.0,0.0,0.0,2252.95,0.0,0.0,0.0,1546.45
2022-11-07 17:27:34,1667813254,0.0,0.0,0.0,0.0,0.0,2253.24,0.0,0.0,0.0,1549.33
2022-11-07 17:27:35,1667813255,0.0,0.0,0.0,0.0,0.0,2254.66,0.0,0.0,0.0,1547.84
2022-11-07 17:27:36,1667813256,0.0,0.0,0.0,0.0,0.0,2256.77,0.0,0.0,0.0,1551.01
2022-11-07 17:27:37,1667813257,0.0,0.0,0.0,0.0,0.0,2258.03,0.0,0.0,0.0,1550.88
2022-11-07 17:27:38,1667813258,0.0,0.0,0.0,0.0,0.0,2257.38,0.0,0.0,0.0,1549.71
2022-11-07 17:27:39,1667813259,0.0,0.0,0.0,0.0,0.0,2256.66,0.0,0.0,0.0,1545.58
2022-11-07 17:27:40,1667813260,0.0,0.0,0.0,0.0,0.0,2253.64,0.0,0.0,0.0,1549.29
2022-11-07 17:27:41,1667813261,0.0,0.0,0.0,0.0,0.0,2253.13,0.0,0.0,0.0,1548.99
2022-11-07 17:27:42,1667813262,0.0,0.0,0.0,0.0,0.0,2253.2,0.0,0.0,0.0,1550.33
2022-11-07 17:27:43,1667813263,0.0,0.0,0.0,0.0,0.0,2253.6,0.0,0.0,0.0,1547.85
2022-11-07 17:27:44,1667813264,0.0,0.0,0.0,0.0,0.0,2255.72,0.0,0.0,0.0,1548.73
2022-11-07 17:27:45,1667813265,0.0,0.0,0.0,0.0,0.0,2255.13,0.0,0.0,0.0,1550.12
2022-11-07 17:27:46,1667813266,0.0,0.0,0.0,0.0,0.0,2255.58,0.0,0.0,0.0,1551.35
2022-11-07 17:27:47,1667813267,0.0,0.0,0.0,0.0,0.0,2256.9,0.0,0.0,0.0,1551.89
2022-11-07 17:27:48,1667813268,0.0,0.0,0.0,0.0,0.0,2257.74,0.0,0.0,0.0,1549.11
2022-11-07 17:27:49,1667813269,0.0,0.0,0.0,0.0,0.0,2258.29,0.0,0.0,0.0,1551.24
2022-11-07 17:27:50,1667813270,0.0,0.0,0.0,0.0,0.0,2257.84,0.0,0.0,0.0,1550.55
2022-11-07 17:27:51,1667813271,0.0,0.0,0.0,0.0,0.0,2258.33,0.0,0.0,0.0,1551.03
2022-11-07 17:27:52,1667813272,0.0,0.0,0.0,0.0,0.0,2259.3,0.0,0.0,0.0,1545.34
2022-11-07 17:27:53,1667813273,0.0,0.0,0.0,0.0,0.0,2258.58,0.0,0.0,0.0,1549.94
2022-11-07 17:27:54,1667813274,0.0,0.0,0.0,0.0,0.0,2259.39,0.0,0.0,0.0,1548.22
2022-11-07 17:27:55,1667813275,0.0,0.0,0.0,0.0,0.0,2261.17,0.0,0.0,0.0,1547.08
2022-11-07 17:27:56,1667813276,0.0,0.0,0.0,0.0,0.0,2262.58,0.0,0.0,0.0,1548.67
2022-11-07 17:27:57,1667813277,0.0,0.0,0.0,0.0,0.0,2263.1,0.0,0.0,0.0,1551.85
2022-11-07 17:27:58,1667813278,0.0,0.0,0.0,0.0,0.0,2261.43,0.0,0.0,0.0,1545.89
2022-11-07 17:27:59,1667813279,0.0,0.0,0.0,0.0,0.0,2259.44,0.0,0.0,0.0,1548.43
2022-11-07 17:28:00,1667813280,0.0,0.0,0.0,0.0,0.0,2257.64,0.0,0.0,0.0,1543.16
2022-11-07 17:28:01,1667813281,0.0,0.0,0.0,0.0,0.0,2258.11,0.0,0.0,0.0,1546.32
2022-11-07 17:28:02,1667813282,0.0,0.0,0.0,0.0,0.0,2258.54,0.0,0.0,0.0,1548.82
2022-11-07 17:28:03,1667813283,0.0,0.0,0.0,0.0,0.0,2261.3,0.0,0.0,0.0,1547.51
2022-11-07 17:28:04,1667813284,0.0,0.0,0.0,0.0,0.0,2262.82,0.0,0.0,0.0,1544.77
2022-11-07 17:28:05,1667813285,0.0,0.0,0.0,0.0,0.0,2262.35,0.0,0.0,0.0,1549.24
2022-11-07 17:28:06,1667813286,0.0,0.0,0.0,0.0,0.0,2261.81,0.0,0.0,0.0,1551.43
2022-11-07 17:28:07,1667813287,0.0,0.0,0.0,0.0,0.0,2259.92,0.0,0.0,0.0,1548.48
2022-11-07 17:28:08,1667813288,0.0,0.0,0.0,0.0,0.0,2258.54,0.0,0.0,0.0,1547.17
2022-11-07 17:28:09,1667813289,0.0,0.0,0.0,0.0,0.0,2258.92,0.0,0.0,0.0,1548.55
2022-11-07 17:28:10,1667813290,0.0,0.0,0.0,0.0,0.0,2258.23,0.0,0.0,0.0,1549.37
2022-11-07 17:28:11,1667813291,0.0,0.0,0.0,0.0,0.0,2257.86,0.0,0.0,0.0,1549.01
2022-11-07 17:28:12,1667813292,0.0,0.0,0.0,0.0,0.0,2259.45,0.0,0.0,0.0,1544.78
2022-11-07 17:28:13,1667813293,0.0,0.0,0.0,0.0,0.0,2259.43,0.0,0.0,0.0,1547.07
2022-11-07 17:28:14,1667813294,0.0,0.0,0.0,0.0,0.0,2259.46,0.0,0.0,0.0,1546.77
2022-11-07 17:28:15,1667813295,0.0,0.0,0.0,0.0,0.0,2259.98,0.0,0.0,0.0,1551.45
2022-11-07 17:28:16,1667813296,0.0,0.0,0.0,0.0,0.0,2258.77,0.0,0.0,0.0,1545.95
2022-11-07 17:28:17,1667813297,0.0,0.0,0.0,0.0,0.0,2258.4,0.0,0.0,0.0,1543.81
2022-11-07 17:28:18,1667813298,0.0,0.0,0.0,0.0,0.0,2258.41,0.0,0.0,0.0,1541.31
2022-11-07 17:28:19,1667813299,0.0,0.0,0.0,0.0,0.0,2257.94,0.0,0.0,0.0,1550.55
2022-11-07 17:28:20,1667813300,0.0,0.0,0.0,0.0,0.0,2258.42,0.0,0.0,0.0,1564.77
2022-11-07 17:28:21,1667813301,0.0,0.0,0.0,0.0,0.0,2258.11,0.0,0.0,0.0,1562.32
2022-11-07 17:28:22,1667813302,0.0,0.0,0.0,0.0,0.0,2258.29,0.0,0.0,0.0,1563.57
2022-11-07 17:28:23,1667813303,0.0,0.0,0.0,0.0,0.0,2258.9,0.0,0.0,0.0,1567.27
2022-11-07 17:28:24,1667813304,0.0,0.0,0.0,0.0,0.0,2262.51,0.0,0.0,0.0,1568.09
2022-11-07 17:28:25,1667813305,0.0,0.0,0.0,0.0,0.0,2260.91,0.0,0.0,0.0,1568.01
2022-11-07 17:28:26,1667813306,0.0,0.0,0.0,0.0,0.0,2259.64,0.0,0.0,0.0,1566.05
2022-11-07 17:28:27,1667813307,0.0,0.0,0.0,0.0,0.0,2257.76,0.0,0.0,0.0,1563.0
